,timestamp,views,chg
2020-05-10 00:00:00.000000000,2015-07-01,992655.0,
2020-05-10 00:00:53.798256537,2015-07-02,1018726.9999999998,-0.02592591596058469
2020-05-10 00:01:47.596513075,2015-07-03,962084.0,0.05720732267207573
2020-05-10 00:02:41.394769613,2015-07-04,518343.99999999994,0.6184626504294037
2020-05-10 00:03:35.193026151,2015-07-05,604563.0,-0.15386676847515446
2020-05-10 00:04:28.991282689,2015-07-06,532552.9999999999,0.12682345983959564
2020-05-10 00:05:22.789539227,2015-07-07,520448.99999999994,0.022990522601707752
2020-05-10 00:06:16.587795765,2015-07-08,526224.9999999999,-0.011036977384435431
2020-05-10 00:07:10.386052303,2015-07-09,529281.0,-0.0057906038227102385
2020-05-10 00:08:04.184308841,2015-07-11,532512.0,-0.006085950788317973
2020-05-10 00:08:57.982565379,2015-07-12,587050.0,-0.09750456253528661
2020-05-10 00:09:51.780821917,2015-07-13,516053.00000000006,0.12890052169099953
2020-05-10 00:10:45.579078455,2015-07-14,540643.0000000001,-0.04654969854435187
2020-05-10 00:11:39.377334993,2015-07-15,513098.00000000006,0.05229231186490857
2020-05-10 00:12:33.175591531,2015-07-16,498200.99999999994,0.029463250012584652
2020-05-10 00:13:26.973848069,2015-07-17,488436.99999999994,0.019793113109232152
2020-05-10 00:14:20.772104607,2015-07-18,520855.0,-0.06426119513434259
2020-05-10 00:15:14.570361145,2015-07-19,594680.0000000001,-0.13255175366795946
2020-05-10 00:16:08.368617683,2015-07-21,521861.99999999994,0.13062026062993404
2020-05-10 00:17:02.166874221,2015-07-22,496397.0,0.050027175316321504
2020-05-10 00:17:55.965130759,2015-07-23,482463.0,0.02847177589804062
2020-05-10 00:18:49.763387297,2015-07-24,481210.0,0.002600468636375197
2020-05-10 00:19:43.561643835,2015-07-25,501197.99999999994,-0.04069746732648838
2020-05-10 00:20:37.359900373,2015-07-26,551506.9999999999,-0.09565329867843175
2020-05-10 00:21:31.158156911,2015-07-27,509517.0,0.07919131311811078
2020-05-10 00:22:24.956413449,2015-07-28,493671.00000000006,0.03159391473732143
2020-05-10 00:23:18.754669987,2015-07-29,502265.0,-0.017258565439888685
2020-05-10 00:24:12.552926525,2015-07-31,479909.0,0.045531366258442674
2020-05-10 00:25:06.351183063,2015-08-01,994931.0000000001,-0.7290768854249166
2020-05-10 00:26:00.149439601,2015-08-02,1043859.0,-0.04800631382990872
2020-05-10 00:26:53.947696139,2015-08-03,1004411.0,0.03852312281475179
2020-05-10 00:27:47.745952677,2015-08-04,488057.0000000001,0.7217243767246213
2020-05-10 00:28:41.544209215,2015-08-05,484365.00000000006,0.007593447577656676
2020-05-10 00:29:35.342465753,2015-08-06,477876.9999999999,0.013485377530516374
2020-05-10 00:30:29.140722291,2015-08-07,487564.0,-0.02006818666975896
2020-05-10 00:31:22.938978829,2015-08-08,521630.00000000006,-0.06753696042347279
2020-05-10 00:32:16.737235367,2015-08-09,550822.0000000001,-0.05445318366360752
2020-05-10 00:33:10.535491905,2015-08-11,490241.0,0.11651460103220757
2020-05-10 00:34:04.333748443,2015-08-12,483073.0,0.014729325978699137
2020-05-10 00:34:58.132004981,2015-08-13,484628.0000000001,-0.0032138053766761487
2020-05-10 00:35:51.930261519,2015-08-14,484004.00000000006,0.0012884151800083288
2020-05-10 00:36:45.728518057,2015-08-15,512492.99999999994,-0.057193881237408206
2020-05-10 00:37:39.526774595,2015-08-16,553288.0000000001,-0.07659160923267727
2020-05-10 00:38:33.325031133,2015-08-17,540475.0,0.023430279074849736
2020-05-10 00:39:27.123287671,2015-08-18,511485.0,0.05513012309204335
2020-05-10 00:40:20.921544209,2015-08-19,505385.99999999994,0.011995765709089667
2020-05-10 00:41:14.719800747,2015-08-21,486389.00000000006,0.038313778474741156
2020-05-10 00:42:08.518057285,2015-08-22,510692.99999999994,-0.048759911617898055
2020-05-10 00:43:02.316313823,2015-08-23,559223.0,-0.09077969337720582
2020-05-10 00:43:56.114570361,2015-08-24,519780.0,0.07314267512965245
2020-05-10 00:44:49.912826899,2015-08-25,565513.0,-0.08432763866758641
2020-05-10 00:45:43.711083437,2015-08-26,490137.99999999994,0.14304629969098848
2020-05-10 00:46:37.509339975,2015-08-27,489079.0,0.0021629534880744927
2020-05-10 00:47:31.307596513,2015-08-28,477137.0,0.02472036922764076
2020-05-10 00:48:25.105853051,2015-08-29,504606.0,-0.055974265351698804
2020-05-10 00:49:18.904109589,2015-08-31,530429.0000000001,-0.0499081863507449
2020-05-10 00:50:12.702366127,2015-09-01,971290.0000000002,-0.6049389717815714
2020-05-10 00:51:06.500622665,2015-09-02,1131508.0,-0.15268145043431147
2020-05-10 00:52:00.298879202,2015-09-03,989422.9999999998,0.13418459037393227
2020-05-10 00:52:54.097135740,2015-09-04,472535.00000000006,0.7390101266708591
2020-05-10 00:53:47.895392278,2015-09-05,554182.0,-0.15938133438752544
2020-05-10 00:54:41.693648816,2015-09-06,577474.0,-0.041170267085373524
2020-05-10 00:55:35.491905354,2015-09-07,596807.0,-0.03293035830586355
2020-05-10 00:56:29.290161892,2015-09-08,558073.0000000001,0.06710399984597615
2020-05-10 00:57:23.088418430,2015-09-09,516157.0,0.07807879542862572
2020-05-10 00:58:16.886674968,2015-09-11,507591.0,0.016734977582091304
2020-05-10 00:59:10.684931506,2015-09-12,537582.0,-0.057405301318951274
2020-05-10 01:00:04.483188044,2015-09-13,577483.0,-0.07159769822768425
2020-05-10 01:00:58.281444582,2015-09-14,537714.0,0.07135218443304048
